field                                                    value
-------------------------------------------------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
valid                                                    false
path                                                     <REPO_ROOT>/fixtures/flow/artifacts/diagnostic-flow
connectionReferences                                     [{"apiId":"/providers/microsoft.powerapps/apis/shared_office365","connectionId":"/connections/office365","connectionReferenceLogicalName":"shared_office365","name":"shared_office365"},{"apiId":"/providers/microsoft.powerapps/apis/shared_office365","connectionId":"/connections/office365-alt","connectionReferenceLogicalName":"shared_office365_duplicate","name":"shared_office365"}]
parameters                                               ["ApiBaseUrl"]
environmentVariables                                     []
intermediateRepresentation.nodeCount                     0
intermediateRepresentation.triggerCount                  0
intermediateRepresentation.actionCount                   0
intermediateRepresentation.scopeCount                    0
intermediateRepresentation.controlFlowEdgeCount          0
intermediateRepresentation.expressionCount               0
intermediateRepresentation.templateExpressionCount       0
intermediateRepresentation.dynamicContentReferenceCount  0
intermediateRepresentation.variableReadCount             0
intermediateRepresentation.variableWriteCount            0
semanticSummary.triggerCount                             0
semanticSummary.actionCount                              0
semanticSummary.scopeCount                               0
semanticSummary.expressionCount                          0
semanticSummary.templateExpressionCount                  0
semanticSummary.initializedVariables                     []
semanticSummary.variableUsage.reads                      0
semanticSummary.variableUsage.writes                     0
semanticSummary.dynamicContentReferenceCount             0
semanticSummary.controlFlowEdgeCount                     0
semanticSummary.referenceCounts.parameters               0
semanticSummary.referenceCounts.environmentVariables     0
semanticSummary.referenceCounts.actions                  0
semanticSummary.referenceCounts.variables                0
semanticSummary.referenceCounts.connectionReferences     0
